BOROUGH CODE,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASEMENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE,LATITUDE,LONGITUDE,GROUPED CATEGORY
2,BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3037,105,,C0,463 EAST 181ST STREET,,10457.0,3.0,0.0,3.0,1095.0,2779.0,2006.0,1,C0,915000,2022-10-14,40.85248789999999,-73.8952465,Multi-family home
2,BRONX,BATHGATE,03 THREE FAMILY DWELLINGS,1,3047,28,,C0,2106 BATHGATE AVENUE,,10457.0,3.0,0.0,3.0,1134.0,3362.0,2005.0,1,C0,900000,2022-08-15,40.851143900000004,-73.89452349999998,Multi-family home
2,BRONX,BATHGATE,07 RENTALS - WALKUP APARTMENTS,2A,3044,52,,C3,1968 BATHGATE AVE,,10457.0,4.0,0.0,4.0,1387.0,2550.0,1931.0,2,C3,1189850,2022-08-09,40.8482828,-73.8961042,Apartment
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,61,,A5,1112 EAST 213 STREET,,10469.0,1.0,0.0,1.0,1735.0,1512.0,1950.0,1,A5,200000,2022-06-10,40.8758416,-73.85400349999998,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4707,61,,A5,1112 EAST 213TH ST,,10469.0,1.0,0.0,1.0,1735.0,1512.0,1950.0,1,A5,590000,2023-02-10,40.8758416,-73.85400349999998,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4711,98,,A5,1317 HICKS STREET,,10469.0,1.0,0.0,1.0,1710.0,1701.0,1950.0,1,A5,635000,2022-08-31,40.877736999999996,-73.8516582,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4715,62,,A9,1120 E. 221ST STREET,,10469.0,1.0,0.0,1.0,1746.0,1690.0,1950.0,1,A9,670000,2023-04-20,40.8811577,-73.85054000000001,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4715,62,,A9,1120 EAST 221ST,,10469.0,1.0,0.0,1.0,1746.0,1690.0,1950.0,1,A9,475000,2022-05-06,40.8811577,-73.85054000000001,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4716,57,,A9,1107 EAST 221 STREET,,10469.0,1.0,0.0,1.0,1655.0,1648.0,1950.0,1,A9,600000,2022-09-23,,,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4719,51,,A9,1429 HICKS STREET,,10469.0,1.0,0.0,1.0,1710.0,1690.0,1960.0,1,A9,634999,2022-11-22,40.878667,-73.84982049999998,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,13,,A1,3361 WILSON AVENUE,,10469.0,1.0,0.0,1.0,1900.0,1292.0,1940.0,1,A1,705000,2022-08-31,40.87487489999999,-73.8506245,Single-family home
2,BRONX,BAYCHESTER,01 ONE FAMILY DWELLINGS,1,4734,188,,A5,3227 WILSON AVE,,10469.0,1.0,0.0,1.0,2000.0,1960.0,1940.0,1,A5,629000,2022-12-22,40.872586600000005,-73.84940290000002,Single-family home
